,trial_index,arm_name,trial_status,generation_method,AVG_total_loss,Activity_acc,DEVICETYPE_acc,MAE_time:timestamp,REPAIR_IN_TIME_5D_acc,org:resource_acc,time:timestamp_mae,layers,lr,batch_size,weight_decay,aggregation,hid
15,15,15_0,COMPLETED,BoTorch,1.0722151205645885,0.7285035252571106,0.9739540219306946,0.01504164282232523,0.995838463306427,0.9831554889678955,0.014909367778034692,4,0.0005941650824492767,128,0.012217086320562518,sum,128
25,25,25_0,COMPLETED,BoTorch,1.0757416708066183,0.7334089279174805,0.9701802134513855,0.014942445792257786,0.992145299911499,0.9864883422851562,0.01481528010998758,4,0.0006895384900185312,128,0.012179685019799527,sum,128
29,29,29_0,COMPLETED,BoTorch,1.076460488810438,0.7333217263221741,0.9697766304016113,0.015928521752357483,0.9951303005218506,0.9847669005393982,0.01579611320023669,4,0.00010029864683155146,128,0.013263328032213317,sum,128
34,34,34_0,COMPLETED,BoTorch,1.0788818995049971,0.7261271476745605,0.9748920202255249,0.015104157850146294,0.9959473609924316,0.983315646648407,0.014972886840070792,4,0.0001,128,0.01258733640615132,sum,128
31,31,31_0,COMPLETED,BoTorch,1.0793807562577593,0.7295390963554382,0.973354160785675,0.01626046933233738,0.9957621693611145,0.9846867918968201,0.016127599555162346,4,0.0001,128,0.012859088313094126,sum,128
17,17,17_0,COMPLETED,BoTorch,1.080530865706832,0.7275551557540894,0.9737904667854309,0.014874852262437344,0.9956532120704651,0.9851171970367432,0.014746684329534437,4,0.0005836414620821813,128,0.012282017786800263,sum,128
23,23,23_0,COMPLETED,BoTorch,1.0809465191385554,0.7330927848815918,0.973572313785553,0.015229160897433758,0.995664119720459,0.9827051162719727,0.015097536198311749,4,0.0006404856014769098,128,0.012199890368767634,sum,128
35,35,35_0,COMPLETED,BoTorch,1.0813518399547009,0.7315884828567505,0.9748702645301819,0.016516728326678276,0.992123544216156,0.984436571598053,0.01640007614636206,4,0.0001,128,0.012591234801098044,sum,128
27,27,27_0,COMPLETED,BoTorch,1.0822445785298067,0.7262579798698425,0.9728851318359375,0.015353535301983356,0.9952828288078308,0.9848068952560425,0.015227937265324162,4,0.000613384995561898,128,0.012199335365654672,sum,128
33,33,33_0,COMPLETED,BoTorch,1.0844541825061504,0.7254294753074646,0.9743139743804932,0.015000935643911362,0.9949777722358704,0.9849770665168762,0.014871832597776649,4,0.0001,128,0.012565743212114844,sum,128
13,13,13_0,COMPLETED,BoTorch,1.0901677969340136,0.732482373714447,0.9745212197303772,0.014919290319085121,0.9915788173675537,0.9874892234802246,0.01479135680430753,4,0.0009926131915241538,128,0.011732875919792923,sum,128
